Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,color code (product.metafields.custom.color_code),make (product.metafields.custom.make),UPC (product.metafields.facts.upc),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Paint finish (product.metafields.shopify.paint-finish),Vehicle application area (product.metafields.shopify.vehicle-application-area),Vehicle decor features (product.metafields.shopify.vehicle-decor-features),Vehicle paint type (product.metafields.shopify.vehicle-paint-type),Vehicle type (product.metafields.shopify.vehicle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
quart-sp-clear-4to1,SP-100 2K Clear Coat (4:1) - Quart Kit,"<p> This 2K clear coat is an excellent budget option for touch up body work. Mix 4:1 with slow, medium or fast activator for your preferred cure time &amp; temperature</p>",Spectral Paints,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Paint > Motor Vehicle Body Paint",Paint,Body Shop,TRUE,Title,Clearcoat with Fast Hardener,,,,,,,,SP-1001,0,shopify,148,deny,manual,48.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/MediumSP100QT.png?v=1756227050,1,,FALSE,,,8450,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/FastSP100QT.png?v=1756227073,lb,,26.37,active
quart-sp-clear-4to1,,,,,,,,,Clearcoat with Medium Hardener,,,,,,,,SP-1002,0,shopify,146,deny,manual,48.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/FastSP100QT.png?v=1756227073,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/MediumSP100QT.png?v=1756227050,lb,,26.37,
quart-sp-clear-4to1,,,,,,,,,Clearcoat with Slow Hardener,,,,,,,,SP-1003,0,shopify,150,deny,manual,48.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/SlowSP100QT.png?v=1756227091,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/SlowSP100QT.png?v=1756227091,lb,,26.37,
gallon-sp-clear-4to1,SP-100 2K Clear Coat (4:1) - Gallon Kit,"<p> This 2K clear coat is an excellent budget option for touch up body work. Mix 4:1 with slow, medium or fast activator for your preferred cure time &amp; temperature</p>",Spectral Paints,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Paint > Motor Vehicle Body Paint",Paint,Body Shop,TRUE,Activator,Clearcoat with Medium Activator,,,,,,,,SP-1002G,0,shopify,149,deny,manual,118.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/MediumGAL_ca3199df-3c00-45fc-99b4-43318fb5fb68.png?v=1755810041,1,,FALSE,,,8450,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/MediumGAL_ca3199df-3c00-45fc-99b4-43318fb5fb68.png?v=1755810041,lb,,57.76,active
gallon-sp-clear-4to1,,,,,,,,,Clearcoat with Fast Activator,,,,,,,,SP-1001G,0,shopify,10,deny,manual,118.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/FastGAL_84ce64dc-a64d-42d2-a807-46a24f4a9bf4.jpg?v=1755810802,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/FastGAL_84ce64dc-a64d-42d2-a807-46a24f4a9bf4.jpg?v=1755810802,lb,,57.76,
adhesion-promoter,"Adhesion Promoter for Bumpers, Plastic and Trim","<p> Use adhesion promoter on bumpers, trim and all other plastic parts before applying basecoat! This is a substitute for primer, but you may prime over it if you desire. </p>",Spectral Paints,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Paint > Motor Vehicle Body Paint",Paint,Body Shop,TRUE,Size,Gallon,,,,,,,,SP-534G,0,shopify,40,deny,manual,136.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/ChatGPT_Image_Aug_20_2025_02_39_58_PM_1c892eef-9c6e-44b3-bfad-15ba750d5cdf.png?v=1759775672,1,,FALSE,,,8450,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/AdhesionPromoterCentered_9d0a9397-14d8-434d-8aab-c03b405d4b99.png?v=1759771606,lb,,62.7,active
adhesion-promoter,,,,,,,,,Quart,,,,,,,,SP-534Q,0,shopify,0,deny,manual,48.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/AdhesionPromoterCentered_9d0a9397-14d8-434d-8aab-c03b405d4b99.png?v=1759771606,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/Adhesion_Promoter_Quart_f297ea97-29c2-46a2-b5f3-88d8fe4866ef.png?v=1759771605,lb,,25.36,
adhesion-promoter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/Adhesion_Promoter_Quart_f297ea97-29c2-46a2-b5f3-88d8fe4866ef.png?v=1759771605,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reducer-thinner,Urethane Reducer for Automotive Basecoat,"<p>1 gallon, National rule Urethane reducer/thinner. Mix .9:1 or 1:1 with 1K automotive basecoats.</p>",Spectral Paints,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Paint > Motor Vehicle Body Paint",Paint,Body Shop,TRUE,Speed,Medium (<77 F),,,,,,,,SPP-1,0,shopify,40,deny,manual,59.95,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/ChatGPT_Image_Oct_3_2025_01_09_42_PM_aca88258-c043-4e2e-8518-eec79cf650cb.png?v=1759772356,1,,FALSE,,,8450,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0272/2627/5892/files/StandardReducer_8f1350c0-88dd-4a6e-ae26-a29c675ad5af.png?v=1759771607,lb,,20.08,active
